Campaign_ID,Campaign_Type,Device,Impressions,Clicks,Avg_CPC,Spend,CTR,CVR,Conversions,Revenue_Per_Conversion,Revenue,CPA,ROAS,Customer_Quality_Score,Customer_LTV
1,Competitor,Tablet,22390,1431,32.25,46149.75,0.0639124609200536,0.081,115,3683,423545,401.3021739130435,9.177622847361036,100.0,914596
2,Brand,Mobile,21369,7990,27.03,215969.7,0.3739061256961018,0.172,1374,3056,4198944,157.18318777292578,19.442282875792298,100.0,14655604
3,Competitor,Tablet,13881,4688,26.99,126529.12,0.3377278294071032,0.237,1111,2063,2291993,113.88759675967596,18.114351858291595,100.0,11152610
4,Competitor,Mobile,10587,437,8.49,3710.13,0.041277037876641165,0.124,54,4540,245160,68.70611111111111,66.0785471129044,100.0,914424
5,Brand,Tablet,94800,7166,13.58,97314.28,0.07559071729957806,0.192,1375,3226,4435750,70.77402181818182,45.58169674584244,100.0,13484132
6,Brand,Tablet,75327,7913,19.44,153828.72,0.10504865453290321,0.169,1337,2664,3561768,115.05513836948391,23.15411582440522,100.0,14273092
7,Competitor,Mobile,88911,9083,23.87,216811.21000000002,0.1021583381133943,0.129,1171,4006,4691026,185.1504782237404,21.63645505230103,100.0,20574946
8,Generic,Tablet,89147,3711,31.73,117750.03,0.04162787306359159,0.031,115,3548,408020,1023.913304347826,3.4651371214088016,73.71355247030709,1455328
9,Competitor,Desktop,8833,3800,43.85,166630.0,0.43020491339295824,0.191,725,1372,994700,229.83448275862068,5.969513292924443,100.0,4527290
10,Competitor,Mobile,48013,9808,12.16,119265.28,0.2042780080394893,0.104,1020,4139,4221780,116.92674509803922,35.39823157250794,100.0,13936396
11,Competitor,Desktop,64620,6218,5.68,35318.24,0.09622407923243578,0.072,447,1969,880143,79.0117225950783,24.92035276956043,100.0,3877119
12,Competitor,Mobile,16754,7205,25.22,181710.1,0.4300465560463173,0.238,1714,2689,4608946,106.015227537923,25.36428079671961,100.0,22270737
13,Brand,Tablet,79113,2773,24.44,67772.12000000001,0.035051129397191357,0.198,549,2447,1343403,123.44648451730421,19.82235467918076,100.0,4371906
