Customer_ID,Journey,Conversion_Value
1,Display > Email > Organic Search > Display > Display,5138
2,Email > Social Media > Email > Social Media > Organic Search,3512
3,Social Media > Display > Display > Email,8834
4,Paid Search > Organic Search > Email,4574
5,Social Media > Paid Search > Email > Display > Paid Search,1299
6,Social Media > Display > Display > Social Media,3579
7,Paid Search > Organic Search > Email > Social Media,5513
8,Organic Search > Organic Search,8141
9,Organic Search > Paid Search,3395
10,Display > Organic Search > Email > Organic Search,6447
11,Paid Search > Display > Display,5748
12,Social Media > Paid Search,9718
13,Paid Search > Social Media,6203
14,Paid Search > Paid Search > Organic Search,3802
15,Organic Search > Organic Search > Display,6184
16,Email > Display > Paid Search > Display,1995
17,Email > Social Media > Paid Search > Display,6006
18,Email > Display,1613
19,Email > Organic Search > Social Media > Paid Search > Display,3706
20,Email > Paid Search,4750
21,Paid Search > Display > Social Media > Social Media,7809
22,Social Media > Paid Search > Organic Search,6525
23,Social Media > Email > Display,7557
24,Email > Display > Email,8954
25,Paid Search > Organic Search,3042
26,Email > Social Media,8039
27,Paid Search > Social Media,4953
28,Display > Paid Search > Paid Search > Display,9329
29,Paid Search > Email > Social Media > Display > Paid Search,6043
30,Display > Paid Search > Social Media > Paid Search,8832
31,Organic Search > Display > Organic Search,5442
32,Organic Search > Organic Search > Social Media > Display,5946
33,Email > Organic Search > Paid Search > Social Media > Email,7133
34,Social Media > Social Media > Social Media,7533
35,Social Media > Paid Search > Paid Search,6245
36,Email > Email > Email > Paid Search,5505
37,Email > Social Media,1950
38,Display > Organic Search > Email > Paid Search > Social Media,4361
39,Paid Search > Paid Search > Social Media,8686
40,Paid Search > Display,2358
41,Display > Email,5505
42,Paid Search > Display > Display > Display,9741
43,Email > Organic Search > Email > Organic Search > Paid Search,1585
44,Display > Social Media > Paid Search > Display > Display,7162
45,Paid Search > Social Media > Organic Search,8496
46,Display > Display > Display > Display,1510
47,Organic Search > Organic Search > Social Media > Paid Search,8245
48,Social Media > Email,2645
49,Organic Search > Social Media > Social Media > Organic Search > Display,6736
50,Email > Social Media > Email > Display > Paid Search,2866
51,Social Media > Display > Organic Search,5699
52,Organic Search > Display > Organic Search > Organic Search,7207
53,Paid Search > Paid Search > Email > Email,6829
54,Organic Search > Social Media > Display,7650
55,Email > Email > Social Media > Social Media,9025
56,Email > Social Media > Organic Search,7851
57,Paid Search > Social Media > Social Media > Organic Search,9647
58,Paid Search > Display > Email > Email > Social Media,6057
59,Organic Search > Paid Search > Organic Search > Display > Display,5940
60,Paid Search > Organic Search > Display,2700
61,Social Media > Social Media > Organic Search,1613
62,Email > Social Media,9103
63,Paid Search > Email > Display > Email,1451
64,Organic Search > Organic Search > Social Media > Display > Paid Search,2905
65,Email > Email > Organic Search > Organic Search > Organic Search,1723
66,Social Media > Organic Search,8957
67,Email > Organic Search,5141
68,Paid Search > Paid Search > Organic Search > Social Media,1540
69,Paid Search > Social Media > Paid Search > Paid Search > Paid Search,2596
70,Social Media > Organic Search,1011
71,Email > Organic Search > Email,4248
72,Display > Organic Search > Paid Search,7423
73,Email > Social Media > Organic Search > Email,7963
74,Display > Organic Search,6361
75,Paid Search > Organic Search > Display,5936
76,Paid Search > Paid Search > Social Media > Paid Search,4547
77,Display > Organic Search > Display,4562
78,Display > Display > Email,2519
79,Email > Paid Search > Organic Search > Email > Social Media,7498
80,Email > Paid Search,6093
81,Paid Search > Paid Search > Organic Search > Display,7831
82,Organic Search > Email,7737
83,Paid Search > Paid Search > Paid Search > Display > Paid Search,1889
84,Social Media > Organic Search > Email,2632
85,Social Media > Organic Search > Social Media > Email > Email,1567
86,Paid Search > Organic Search > Display,6565
87,Display > Social Media > Display,5038
88,Organic Search > Paid Search,1117
89,Display > Display > Email,8601
90,Organic Search > Email > Display > Display,7184
91,Social Media > Display,4089
92,Paid Search > Paid Search > Organic Search > Display,4385
93,Display > Organic Search,9824
94,Organic Search > Organic Search > Email > Email > Organic Search,3793
95,Paid Search > Display,6136
96,Paid Search > Organic Search > Display > Paid Search > Display,2182
97,Social Media > Email > Email > Paid Search,5260
98,Paid Search > Paid Search > Paid Search > Email > Social Media,5267
99,Paid Search > Social Media > Social Media > Email > Email,7171
100,Display > Social Media > Organic Search > Organic Search,1904
101,Display > Display > Social Media,9333
102,Organic Search > Social Media,7995
103,Social Media > Paid Search > Paid Search > Display > Social Media,2613
104,Social Media > Organic Search > Organic Search > Display,6425
105,Paid Search > Paid Search > Social Media > Paid Search > Social Media,9119
106,Email > Organic Search > Display,6210
107,Display > Email > Social Media > Display > Social Media,8760
108,Organic Search > Organic Search,1503
109,Display > Organic Search > Email > Organic Search > Email,9301
110,Display > Social Media > Paid Search > Display,2873
111,Paid Search > Social Media,9520
112,Social Media > Social Media > Display > Organic Search > Organic Search,5915
113,Email > Email > Social Media,9522
114,Email > Display > Paid Search > Display,2362
115,Organic Search > Paid Search > Email > Paid Search,7249
116,Display > Social Media,8602
117,Display > Display > Organic Search > Social Media,3727
118,Email > Organic Search,3083
119,Organic Search > Paid Search,1562
120,Display > Social Media > Organic Search > Organic Search > Organic Search,3990
121,Display > Organic Search > Display > Display,4150
122,Email > Organic Search > Organic Search > Display,2467
123,Email > Organic Search > Organic Search,3863
124,Email > Display > Display > Organic Search > Email,2942
125,Email > Display > Paid Search > Paid Search,4436
126,Social Media > Paid Search > Display > Social Media > Paid Search,6244
127,Social Media > Paid Search > Social Media > Display > Paid Search,5825
128,Display > Organic Search,2292
129,Email > Paid Search > Email > Paid Search > Organic Search,7884
130,Email > Display > Display > Paid Search > Organic Search,8167
131,Email > Social Media > Paid Search,7023
132,Display > Organic Search,6577
133,Organic Search > Social Media > Organic Search > Display,6858
134,Display > Paid Search > Social Media > Organic Search > Display,9050
135,Display > Social Media > Display > Paid Search > Paid Search,3217
136,Organic Search > Organic Search > Social Media > Paid Search > Social Media,2893
137,Email > Paid Search > Display,1883
138,Email > Email > Social Media > Display,4534
139,Paid Search > Social Media > Organic Search,5783
140,Social Media > Display > Paid Search,4378
141,Paid Search > Social Media > Display > Paid Search,7690
142,Social Media > Email,2056
143,Email > Paid Search > Organic Search,2360
144,Email > Email > Paid Search > Organic Search > Display,7128
145,Display > Social Media > Email,5152
146,Organic Search > Social Media > Organic Search > Display > Organic Search,7983
