Keyword,Quality_Score,Impressions,Clicks,CTR,Conversions,CVR,Avg_CPC,Spend
keyword_0,2,71455,5840,0.08172975998880415,692,0.1184931506849315,23.72,138524.8
keyword_1,7,65720,4664,0.07096774193548387,581,0.12457118353344769,17.69,82506.16
keyword_2,3,33830,1823,0.053887082471179425,59,0.03236423477783873,18.14,33069.22
keyword_3,6,72496,6884,0.09495696314279409,1021,0.14831493317838465,49.19,338623.95999999996
keyword_4,9,86420,12556,0.14529044202730848,1571,0.12511946479770628,13.74,172519.44
keyword_5,5,74247,10109,0.13615364930569585,293,0.02898407359778415,25.63,259093.66999999998
keyword_6,9,20844,297,0.014248704663212436,16,0.05387205387205387,49.39,14668.83
keyword_7,4,75551,5842,0.07732525049304444,329,0.0563163300239644,6.38,37271.96
keyword_8,9,4041,226,0.055926750804256374,11,0.048672566371681415,36.35,8215.1
keyword_9,1,36425,2968,0.0814824982841455,411,0.13847708894878707,21.7,64405.6
keyword_10,4,55513,5266,0.09486066326806333,985,0.18704899354348653,45.77,241024.82
keyword_11,1,12432,472,0.03796653796653797,74,0.15677966101694915,46.04,21730.88
keyword_12,9,7048,841,0.11932463110102157,89,0.10582639714625446,22.42,18855.22
keyword_13,8,56773,4343,0.07649763091610448,402,0.09256274464655768,14.97,65014.71000000001
keyword_14,8,67350,10027,0.14887899034892355,898,0.08955819287922609,24.26,243255.02000000002
keyword_15,7,31117,420,0.013497445126458205,53,0.1261904761904762,48.44,20344.8
keyword_16,9,19310,705,0.03650958052822372,59,0.08368794326241134,17.66,12450.3
keyword_17,3,94565,10075,0.1065404748056892,611,0.06064516129032258,49.16,495286.99999999994
keyword_18,7,83359,8946,0.10731894576470447,1149,0.12843729040912139,41.87,374569.01999999996
keyword_19,6,8929,817,0.0914996080188151,73,0.08935128518971848,17.04,13921.679999999998
keyword_20,5,74412,10869,0.14606515078213192,245,0.02254117214095133,40.6,441281.4
keyword_21,9,73923,5037,0.06813846840631468,120,0.023823704586063133,7.24,36467.880000000005
keyword_22,4,35053,2397,0.06838216415142784,166,0.06925323320817689,29.66,71095.02
keyword_23,3,42908,5898,0.13745688449706348,661,0.11207188877585622,21.08,124329.84
keyword_24,3,73526,6277,0.0853711612218807,525,0.0836386808985184,24.21,151966.17
keyword_25,2,48204,2869,0.059517882333416317,69,0.02405019170442663,26.28,75397.32
keyword_26,1,51033,5646,0.11063429545588149,339,0.06004250797024442,27.62,155942.52000000002
keyword_27,3,66397,6424,0.09675135924815881,239,0.037204234122042344,34.54,221884.96
keyword_28,8,25591,1353,0.052870149661990544,258,0.19068736141906872,36.35,49181.55
keyword_29,6,25405,1313,0.0516827396181854,100,0.07616146230007616,48.91,64218.829999999994
keyword_30,2,88832,5808,0.06538184438040345,131,0.02255509641873278,39.33,228428.63999999998
keyword_31,8,3641,72,0.019774787146388355,10,0.1388888888888889,35.95,2588.4
keyword_32,5,55290,7849,0.1419605715319226,485,0.06179131099503121,22.66,177858.34
keyword_33,4,86159,3069,0.035620190577885076,374,0.12186379928315412,10.3,31610.7
keyword_34,1,46510,1727,0.03713179961298645,81,0.046902142443543716,7.65,13211.550000000001
keyword_35,1,82712,8319,0.10057790888867395,1639,0.1970188724606323,26.5,220453.5
keyword_36,4,38673,4307,0.1113696894474181,838,0.19456698397956815,35.07,151046.49
keyword_37,9,17243,1951,0.11314736414777012,269,0.13787801127626859,34.26,66841.26
keyword_38,10,2109,131,0.06211474632527264,19,0.1450381679389313,47.88,6272.280000000001
keyword_39,10,34628,4580,0.13226290862885526,442,0.0965065502183406,22.21,101721.8
keyword_40,6,1123,96,0.0854853072128228,18,0.1875,33.25,3192.0
keyword_41,1,34833,2487,0.0713978124192576,239,0.09609971853638923,44.95,111790.65000000001
