Query,Clicks,Conversions,Avg_Position,Quality_Score,Avg_CPC,Spend,Revenue_Per_Conversion,Revenue,CPA,ROAS,CVR
premium airline rewards card,387,33,9.35,10,18.94,7329.780000000001,3901,128733,222.11454545454546,17.5630100767008,0.08527131782945736
with airport lounge access expense tracking software,339,34,2.51,3,6.9,2339.1,9001,306034,68.79705882352941,130.8340814843316,0.10029498525073746
premium business credit card,415,19,10.0,6,8.96,3718.4000000000005,6844,130036,195.70526315789476,34.970955249569705,0.04578313253012048
for small business amex corporate card,130,12,9.91,4,14.97,1946.1000000000001,2733,32796,162.175,16.85216587020194,0.09230769230769231
low fee cashback business card,162,6,6.59,8,11.93,1932.6599999999999,5064,30384,322.10999999999996,15.721337431312286,0.037037037037037035
for employees amex rewards card,199,5,3.42,7,6.29,1251.71,8661,43305,250.342,34.59667175304184,0.02512562814070352
for startups business cashback card,394,49,4.87,6,36.32,14310.08,3882,190218,292.0424489795918,13.292588161631521,0.12436548223350254
high limit company credit card,211,16,2.53,8,39.22,8275.42,8743,139888,517.21375,16.90403629060519,0.07582938388625593
top amex corporate card,88,5,2.08,5,20.95,1843.6,6700,33500,368.71999999999997,18.170969841614234,0.056818181818181816
for ecommerce expense tracking software,177,24,7.34,9,49.38,8740.26,4040,96960,364.1775,11.09349149796459,0.13559322033898305
apply for travel rewards card,296,32,6.22,1,31.46,9312.16,9643,308576,291.005,33.13688768234223,0.10810810810810811
instant approval spend management platform,126,13,6.07,4,9.5,1197.0,6859,89167,92.07692307692308,74.4920634920635,0.10317460317460317
for small business small business loan,218,8,3.23,2,21.42,4669.56,9734,77872,583.695,16.676517701881973,0.03669724770642202
apply for amex rewards card,213,8,3.11,6,31.21,6647.7300000000005,2794,22352,830.9662500000001,3.3623507573261846,0.03755868544600939
for employees cash rewards card,270,20,9.91,9,48.0,12960.0,3894,77880,648.0,6.0092592592592595,0.07407407407407407
compare spend management platform,239,24,6.66,8,35.72,8537.08,4824,115776,355.71166666666664,13.561545633870129,0.100418410041841
best corporate expense card,441,28,8.38,9,5.4,2381.4,6623,185444,85.05,77.8718400940623,0.06349206349206349
with cashback corporate expense card,240,4,4.41,6,35.13,8431.2,7026,28104,2107.8,3.333333333333333,0.016666666666666666
for freelancers corporate travel card,124,13,8.59,9,34.48,4275.5199999999995,3418,44434,328.88615384615383,10.3926539929646,0.10483870967741936
